datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2016-01-06 14:40:42-02"	USP	SPF	185119	"Cavanillesia arborea"	S	Plantae				Malvaceae	Cavanillesia	arborea		"(Willd.) K.Schum."	"Valente, GE"	2007	08	22		1976		"Valente, GE"	2007	08	22				Brasil	"Minas Gerais"	Viçosa		0	0	-42.8819	-20.7539	13937												"coleta: 22/8/2007 (flor); 15/10/2007 (fruto) e 30/11/2007 (folha)."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	118291	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.	R.M.Santos	2007	08			12794		"Queiroz, L.P.de"	2007	04	11				Brasil	Bahia	Coribe	"Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'água, a 24,4 Km S de São Félix do Coribe na estrada para Coribe."	-44.32	-13.586111					545	545									"Floresta estacional."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	119342	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.	R.M.Santos	2007	06			1975		"Conceição, A.A."	2007	04	29				Brasil	Bahia	Paramirim		-42.247222	-13.296389					546	546									Caatinga.
"2017-01-06 17:50:22-02"	UEFS	HUEFS	120068	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						1981		"Cardoso, D."	2007	05	22				Brasil	Bahia	Anguera	"Fazenda Retiro, ca. 18 Km de Feira de Santana na Estrada do Feijão sentido Ipirá."	-39.183889	-12.161667					300	600									"Floresta estacional semidecídua com dossel a ca. 20 m alt. e afloramentos rochosos no topo da serra."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	121638	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						2393		"Conceição, A.A."	2007	07	05				Brasil	Bahia	Caturama	Caieiras.	-42.225556	-13.290833					634	634									"Caatinga arbórea."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	122632	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						1695		"Santos, R.M."	2007	07	02				Brasil	Bahia	"Santa Bárbara"		0	0	-38.975	-11.9583	18037												"Transição caatinga - Floresta"
"2017-01-06 17:50:22-02"	UEFS	HUEFS	122673	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						1736		"Santos, R.M."	2007	07	02				Brasil	Bahia	"São Desidério"	"BR 135."	-44.968889	-12.376944					505	505									"Caatinga arbórea e afloramento de calcário."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	122710	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						1773		"Santos, R.M."	2007	07	02				Brasil	Bahia	"São Desidério"	"BR 135."	-44.968889	-12.376944					505	505									"Caatinga arbórea e afloramento de calcário."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	126672	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						606		"Valadão, R.de M."	2007	07	18				Brasil	Bahia		"Faz. de Joel Gonzaga."	-44.666667	-14.381389															"Mata decídua, antropizada."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	128853	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						13601		"Guedes, M.L.S."	2007	09	22				Brasil	Bahia		"Faz. São Domingos."	-44.548611	-14.274444															"Mata de Galeria."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	132053	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		"(Willd.) K.Schum."						2295		"Cardoso, D."	2008	01	18				Brasil	Bahia	Itaberaba	"ARIE Serra do Orobó, Fazenda Leão dos Brejos."	-40.521111	-12.417222					340	340									"Fragmento de floresta estacional."
"2017-01-06 17:50:22-02"	UEFS	HUEFS	176785	"Cavanillesia arborea"	S	Plantae	Angiospermae	Dicotyledoneae	Malvales	Malvaceae	Cavanillesia	arborea		K.Schum.						1823		"Sevilha, A.C."	1999	08	08				Brasil	Goiás	"São Domingos"	"Fazenda Flor do Ermo.Prop. José Pereira.,"	-46.7725	-13.615556					400	400									"Mata decídua."
