"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA_AGP" "4675" "P. Fiaschi" "Brazil" "Rs" NA "Boca do Mato" 18 2 1941 "Rambo, B." NA "Habitat: In silva primaeva. Fenofase: estéril"
"COORDINATE_REPROJECTED,IDENTIFIED_DATE_UNLIKELY,MULTIMEDIA_URI_INVALID" "Aralia warmingiana (Marchal) J.Wen" -42.8818438826343 -20.758024038568 NA "00935759" "J. Wen" "Brazil" "Minas Gerais" "Viçosa" "Viçosa" 1 11 1935 "J. Kulhmann" "s.n." NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Pentapanax warmingianus (Marchal) Harms" -55.53333 -27.31666 "MO" "2455242" NA "Argentina" "Misiones" "Candelaria" "Loreto" 25 1 1933 "* GRUBNER" "GRUBNER s.n.0" NA
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "MO" "2293351" "Synonomy,used Zuloaga 1997!" "Argentina" "Formosa" NA "Guaycole?" NA NA 1919 "Pedro Jörgensen" "Jörgensen 3254" NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "Botany" "1065678" NA "Argentina" "Formosa" NA NA NA NA 1919 "P. Jorgensen" "3254" NA
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "MO" "2492237" NA "Paraguay" "Cordillera" NA "Montes Cerrito, San Bernardino" NA NA 1913 "Émile Hassler" "Hassler 12689" NA
"IDENTIFIED_DATE_UNLIKELY" "Aralia warmingiana (Marchal) J.Wen" NA NA "BOT" "BM000817788" "J. Wen" "Paraguay" "Amambay" NA NA NA NA 1910 "Benedict (Benjamin) Balansa; b.1825; d.1891; Balansa" "3158" NA
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "MO" "2492213" NA "Paraguay" "Amambay" NA "Sierra de Amambay, in silvis Punta Porá" NA NA 1907 "Émile Hassler" "Hassler 10387" NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258228" NA "Brazil" "Rio de Janeiro" NA NA 2 8 1891 "Glaziou, A." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258225" NA "Brazil" "Rio de Janeiro" NA NA 28 12 1878 "Glaziou, A." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258227" NA "Brazil" "Rio de Janeiro" NA NA 8 10 1873 "Glaziou, A." NA NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -46.53 -13.80333 "CEN" "41685" "P. Fiaschi" "Brazil" "Go" NA "Fazenda Forquilha. (Mata 3). Prop. Sr. Vigilato Francisco Neto." NA NA NA "Marina de Lourdes Fonseca Resende" "2947" "Árvore heliófito. Folhas discolores verde. Cálice verde, flores, botões e estames alvos. (Linha 2, parcela 15, árvore 305). Doação do Herbário IBGE - Reserva Ecológica do IBGE. Plantas do Brasil - Goiás."
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "ESA" "ESA110074" NA "Brazil" "São Paulo" NA NA NA NA NA "Toniato, M.T.Z. ; Barreto, T.E." "70" NA
"GEODETIC_DATUM_ASSUMED_WGS84,RECORDED_DATE_INVALID" "Pentapanax warmingianus (Marchal) Harms" -57 -25.25 "Geneva Herbarium – General Collection (G)" "G-G-108782/2" NA "Paraguay" NA NA "Departamento Cordillera/Departamento de la Cordillera" NA NA NA "Hassler, E." NA NA
"GEODETIC_DATUM_ASSUMED_WGS84,RECORDED_DATE_INVALID" "Pentapanax warmingianus (Marchal) Harms" -57 -25.25 "Geneva Herbarium – General Collection (G)" "G-G-109169/4" NA "Paraguay" NA NA "Departamento Cordillera/Departamento de la Cordillera" NA NA NA "Hassler, E." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258224" NA "Brazil" "Rio de Janeiro" NA NA NA NA NA "Glaziou, A." NA "Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907"
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -55.32 -27.62 "HERB" "51237" "-" "Argentina" "Misiones" "Leandro N. Alem" "leandro N. Alem" NA NA NA "Buchinger, M." NA NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Aralia warmingiana (Marchal) J.Wen" -63.2 -17.74166 "MO" "1524024" "J. Wen" "Bolivia, Plurinational State of" "Santa Cruz" NA "The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the Río Grande to the east" NA NA NA "Michael H. Nee" "Nee 33832" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -55.32 -27.62 "HERB" "51236" "-" "Argentina" "Misiones" "Leandro N. Alem" "leandro N. Alem" NA NA NA "Buchinger, M." NA NA
"GEODETIC_DATUM_ASSUMED_WGS84,TAXON_MATCH_FUZZY" "Aralia warmingiana (Marchal) J.Wen" -53.766667 -27.166667 "R" "211039" "Fiaschi, P." "Brazil" "Santa Catarina" NA NA NA NA NA "Smith, L.B" NA NA
"GEODETIC_DATUM_ASSUMED_WGS84,RECORDED_DATE_INVALID" "Pentapanax warmingianus (Marchal) Harms" -56 -23 "Geneva Herbarium – General Collection (G)" "G-G-109167/1" NA "Paraguay" NA NA "Departamento Amambay/Departamento del Amambay" NA NA NA "Hassler, E. & T. Rojas" NA NA
