"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -43.916667 -14.333333 "E" "E00100860" NA "Brazil" "State of Minas Gerais" NA "Municipio de Manga.Between Caninanha and Manga. Between Caninanha and Manga" 4 8 1998 "Ratter, James Alexander" "R8061" NA
"COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia arborea (Willd.) K.Schum." -39.528611 -15.158056 "MO" "100658377" "J. Kallunki" "Brazil" "Bahia" "Jussari" "Rod. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso. Mata Mesófila." 13 8 1998 "André M. Amorim|Jomar G. Jardim|L.M. Berbert|J. Lima Paixão" "Amorim 2467" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -43.916667 -14.333333 "E" "E00100859" NA "Brazil" "State of Minas Gerais" NA "Municipio de Manga.Between Caninanha and Manga. Between Caninanha and Manga" 4 8 1998 "Ratter, James Alexander" "R8061" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -70.26083 -3.81692 "COAH" "33296" "Cárdenas, D." "Colombia" "Amazonas" "Leticia" "PNN Amacayacu, sector de Mata-Matá." 20 8 1998 "Arias-G., J.C." "559" "Ejemplar botánico"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -70.54944 -3.76115 "COAH" "33513" "Cárdenas, D." "Colombia" "Amazonas" "Puerto Nariño" "San Pedro de Tipisca, río Loretoyacú (afluente del río Amazonas), terraza baja, moderadamente disectadas" 30 8 1996 "Posada, A." "2548" "Ejemplar botánico"
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY,MULTIMEDIA_URI_INVALID" "Cavanillesia arborea (Willd.) K.Schum." -46.58 -13.92 NA "778774" "B. A. S. Pereira" "Brazil" "Goiás" "Guarani de Goiás" "No. km 16 da estrada Posse/Guarani de Goiás." 13 8 1995 "B. A. S. Pereira" "2819" NA
"" "Cavanillesia umbellata Ruiz & Pav." NA NA "HPL" "4291" "V.C. Souza" "Brazil" "Ba" NA "Coletada na estrada para Barreiras." 18 8 1994 "H. Lorenzi" "1601" NA
"" "Cavanillesia umbellata Ruiz & Pav." NA NA "HPL" "4292" "V.C. Souza" "Brazil" "Mg" NA "Coletada na fazenda Santa cecília de Sebastião Mentans." 18 8 1994 "H. Lorenzi" "1649" NA
"" "Cavanillesia arborea (Willd.) K.Schum." NA NA "Botany" "2206906" NA "Brazil" "GoiÃ¡s" "Flores de Goias" "Alvorada do Norte." 9 9 1994 "B. A. S. Pereira" "2615" NA
"COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -73.5 -4.166667 "MO" "188621" NA "Peru" "Loreto" "Maynas" "Distrito Iquitos. Allpahuayo, estación IIAP. Bosque primario." 14 10 1993 "Rodolfo Vásquez" "Vásquez Martínez 18338" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -68 -15.5 "Botany" NA "R. Seidel" "Bolivia, Plurinational State of" "La Paz" NA NA 26 2 1992 "R. Seidel" "5706" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -70.25 -3.7 "FMB" "FMB-053862" "Fernández-Alonso, José" "Colombia" "Amazonas" "Leticia" "Alrededores de la quebrada Agua Pudre" 24 3 1992 "Rudas, Agustín; Giraldo, D.; Tuberguias, D.; Uribe, F." "3613" NA
"IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -70.25 -3.733333 "HUIS" "11111" "A. Rudas" "Colombia" "Amazonas" "Leticia" "Parque Nacional Natural Amacayacu, quebrada Agua Pudre" 24 3 1992 "Rudas A." "3613" "Árbol # 1146 de 10 m. x 24.3 cm"
