"scientificname" "longitude" "latitude" "collectioncode" "catalognumber" "identifiedby" "country" "stateprovince" "county" "locality" "daycollected" "monthcollected" "yearcollected" "collector" "collectornumber" "notes" "source"
"Aralia warmingiana" -51.0283 -22.8506 "ESA" "ESA096201" "Lovato, M.C." "Brasil" "ParanÃ¡" "Primeiro de Maio" "" 3 4 2001 "PavÃ£o, O.C. et al." "" "" "splink.mun"
"Aralia warmingiana" -51.6597 -25.6956 "MBM" "157192" "Sobral, M" "Brazil" "ParanÃ¡" "PinhÃ£o" "Reserva Rio dos Touros" 9 11 1991 "Tramujas, AP" "549" "" "splink.mun"
"Aralia warmingiana" -51.1628 -23.3103 "HUFU" "23122" "Soares-Silva, L.H." "Brasil" "ParanÃ¡" "Londrina" "Floresta Godoy-PrÃ³ximo parc. 5 e14 da porÃ§Ã£o norte." 18 3 1994 "Silva, F.C. e" "1682" "DESC:Ãrvore, ca. 30 m. BotÃ£o floral e flores creme.;" "splink.mun"
"Aralia warmingiana" -53.3944 -27.3592 "HDCF" "6040" "Longhi, S. J." "Brasil" "Rio Grande do Sul" "Frederico Westphalen" "" 10 10 2007 "Scipioni, M. C.; Meyer, E. A." "s.n." "Ocorre na Floresta do Alto Uruguai e eventualmente na Floresta da Encosta meridional do Planalto" "splink.mun"
"Aralia warmingiana" -53.3944 -27.3592 "HDCF" "6041" "Longhi, S. J." "Brasil" "Rio Grande do Sul" "Frederico Westphalen" "" 10 10 2007 "Scipioni, M. C.; Meyer, E. A." "s.n." "" "splink.mun"
"Coemansia warmingiana" -39.8536 -10.6917 "IPA" "50582" "Barroso, G.M." "Brasil" "Bahia" "Itiuba" "Fazenda Experimental da EPABA" 25 5 1983 "Pinto, G.C.P.; Bautista, H.P.; Bautista, H.P." "91" "Ãrvore de aproximadamente 6m de altura, fuste retilÃ­neo com casca , lembrando o pau-d'arco roxo; madeira mole.; VegetaÃ§Ã£o: Floresta Estacional Decidual." "splink.mun"
"Coudenbergia warmingiana" -38.2983 -7.99194 "IPA" "27289" "ZoÃ© Brito" "Brasil" "Pernambuco" "Serra Talhada" "EstaÃ§Ã£o Experimental do IPA, numa unidade experimental do Projeto Caprino." 12 11 1980 "ZoÃ© Brito" "55" "Ãrvore ca. 3,5m de altura. Rara.; Caatinga. Solo pedregoso." "splink.mun"
"Aralia warmingiana" -51.1628 -23.3103 "BOTU" "27175" "Soares e Silva, L.H." "Brasil" "ParanÃ¡" "Londrina" "" 18 3 1994 "Chagas e Silva, F." "11379" "Ãrvore, 30 metros de altura; botÃ£o floral e flores creme; suber lenhoso, corte creme." "splink.mun"
"Aralia warmingiana" -53.8608 -27.2647 "ICN" "021640" "Fiaschi, P" "Brasil" "RS" "Derrubadas" "Tenente Portela" 30 1 1973 "Lima, DA" "s.n." "EspÃ©cie ameaÃ§ada de extinÃ§Ã£o (Em perigo)." "splink.mun"
"Aralia warmingiana" -47.55 -21.47 "PACA-AGP" "67358" "P. Fiaschi" "Brasil" "SP" "Sao Simao" "Faz. Aritozina" 29 1 1982 "Leitao f." "" "Altura de 15m.Herb. Univ. Est. Campinas 13280. Habitat: Em Ã¡rea de transiÃ§Ã£o mata-cerrado. Fenofase: flor creme esverdeada" "splink.mun"
"Aralia warmingiana" -51.1628 -23.3103 "SPSF" "26004" "" "Brasil" "PR" "Londrina" "Parque Estadual Mata dos Godoy" 3 3 1993 "L.H.Soares Silva & F.Chagas Silva" "307" "COLETA: XLS: SPSFAntigo;" "splink.mun"
"Aralia warmingiana" -51.1906 -22.9967 "SPSF" "33641" "" "Brasil" "PR" "Bela Vista do Paraiso" "bosque municipal" 18 4 2001 "L.Fadelli" "" "COLETA: XLS: SPSFAntigo;" "splink.mun"
"Aralia warmingiana" -51.1628 -23.3103 "FUEL" "10239" "" "Brasil" "ParanÃ¡" "Londrina" "Parque Estadual Mata dos Godoy" 17 3 1989 "Soares-Silva, L.H.; Francisco das Chagas e Silva" "196" "; DESC: Arvore, 25,0m de altura, botoes florais e flores cremes." "splink.mun"
