Specie	LONGITUDE	LATITUDE	OBSERVATION DATE
T_nigriceps	-65.4526591	-24.1217081	12/10/2014
T_nigriceps	-65.4526591	-24.1217081	28/10/2014
T_nigriceps	-65.4736	-24.1164	28/10/2014
T_nigriceps	-65.4526591	-24.1217081	29/10/2014
T_nigriceps	-65.4526591	-24.1217081	28/10/2014
T_nigriceps	-65.4877	-24.1201	28/10/2014
T_nigriceps	-65.4526591	-24.1217081	28/10/2014
T_nigriceps	-65.4526591	-24.1217081	28/10/2014
T_nigriceps	-65.4526591	-24.1217081	28/10/2014
T_nigriceps	-65.4674	-24.1173	28/10/2014
T_nigriceps	-65.4787731	-24.1069606	28/10/2014
T_nigriceps	-65.4787731	-24.1069606	11/10/2014
T_nigriceps	-65.4526591	-24.1217081	28/10/2014
T_nigriceps	-64.8495054	-23.7608379	26/11/2014
T_nigriceps	-64.8495054	-23.7608379	02/11/2014
T_nigriceps	-65.4787731	-24.1069606	05/11/2014
T_nigriceps	-65.305481	-24.4938659	01/11/2014
T_nigriceps	-64.8495054	-23.7608379	17/11/2014
T_nigriceps	-65.4787731	-24.1069606	19/11/2014
T_nigriceps	-64.8495054	-23.7608379	01/11/2014
T_nigriceps	-64.89469	-23.68533	08/12/2014
T_nigriceps	-65.4370589	-24.3275406	16/01/2015
T_nigriceps	-65.47825	-24.3421389	19/01/2015
T_nigriceps	-65.47825	-24.3421389	17/01/2015
T_nigriceps	-65.5407429	-24.3711889	18/01/2015
T_nigriceps	-65.17243	-24.0892142	28/05/2015
T_nigriceps	-64.83692	-23.72543	21/06/2015
T_nigriceps	-65.4662869	-24.1191307	06/06/2015
T_nigriceps	-64.8495054	-23.7608379	01/10/2015
T_nigriceps	-64.8495054	-23.7608379	01/10/2015
T_nigriceps	-64.8495054	-23.7608379	01/10/2015
T_nigriceps	-64.8495054	-23.7608379	01/10/2015
T_nigriceps	-65.4787731	-24.1069606	30/12/2015
T_nigriceps	-64.8679324	-23.6962112	08/12/2015
T_nigriceps	-65.4526591	-24.1217081	07/12/2015
T_nigriceps	-65.4787731	-24.1069606	03/12/2015
T_nigriceps	-64.8495054	-23.7608379	06/12/2015
T_nigriceps	-65.4787731	-24.1069606	14/02/2016
T_nigriceps	-65.4787731	-24.1069606	14/02/2016
T_nigriceps	-65.4787731	-24.1069606	17/03/2016
T_nigriceps	-65.3297016	-24.1633054	22/04/2016
T_nigriceps	-65.4787731	-24.1069606	05/04/2016
T_nigriceps	-64.4002998	-24.0983423	14/05/2016
T_nigriceps	-64.4002998	-24.0983423	06/05/2016
T_nigriceps	-64.849559	-23.7604826	19/06/2016
T_nigriceps	-64.8679324	-23.6962112	18/06/2016
T_nigriceps	-64.849559	-23.7604826	19/06/2016
T_nigriceps	-64.849559	-23.7604826	19/06/2016
T_nigriceps	-64.8679324	-23.6962112	18/06/2016
T_nigriceps	-64.8679324	-23.6962112	18/06/2016
T_nigriceps	-64.8679324	-23.6962112	18/06/2016
T_nigriceps	-64.849559	-23.7604826	19/06/2016
T_nigriceps	-64.8495054	-23.7608379	26/06/2016
T_nigriceps	-64.8579932	-23.7034554	27/07/2016
T_nigriceps	-64.8531191	-23.753757	27/07/2016
T_nigriceps	-64.8531191	-23.753757	27/07/2016
T_nigriceps	-64.8579932	-23.7034554	27/07/2016
T_nigriceps	-64.8579932	-23.7034554	27/07/2016
T_nigriceps	-64.8531191	-23.753757	27/07/2016
T_nigriceps	-65.4787731	-24.1069606	26/07/2016
T_nigriceps	-65.4140997	-24.1198868	26/07/2016
T_nigriceps	-64.8495054	-23.7608379	27/07/2016
T_nigriceps	-64.8495054	-23.7608379	09/08/2016
T_nigriceps	-64.505	-17.383	16/09/1997
T_nigriceps	-65.47638	-17.064138	28/08/2000
T_nigriceps	-66.415	-16.232	29/08/2003
T_nigriceps	-66.415	-16.232	08/09/2003
T_nigriceps	-66.415	-16.232	17/09/2003
T_nigriceps	-66.415	-16.232	14/09/2003
T_nigriceps	-66.415	-16.232	05/09/2003
T_nigriceps	-66.415	-16.232	07/09/2003
T_nigriceps	-66.415	-16.232	11/09/2003
T_nigriceps	-66.415	-16.232	13/09/2003
T_nigriceps	-66.415	-16.232	02/09/2003
T_nigriceps	-65.414244	-17.6050411	11/12/2007
T_nigriceps	-65.414244	-17.6050411	11/12/2007
T_nigriceps	-65.414244	-17.6050411	11/12/2007
T_nigriceps	-65.1216917	-17.6839163	11/12/2007
T_nigriceps	-65.1216917	-17.6839163	11/12/2007
T_nigriceps	-65.47638	-17.064138	01/09/2009
T_nigriceps	-65.77406	-17.14983	02/09/2009
T_nigriceps	-66.1675161	-17.365456	25/07/2010
T_nigriceps	-65.8195775	-17.2263895	26/10/2012
T_nigriceps	-64.8127956	-17.746237	19/10/2014
T_nigriceps	-65.2868385	-17.6091775	20/10/2014
T_nigriceps	-64.239	-19.004	17/07/1998
T_nigriceps	-64.239	-19.004	16/07/1998
T_nigriceps	-63.879	-18.782	06/06/1996
T_nigriceps	-64.703	-17.83	18/10/1996
